Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s341r,ucb1,13,timeout,60.00,25054.70,2.03,19,2.59,"[('bmc3g', 60.0, 0.8853624157677279, 60.0, 0, 60.0)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s343b31,ucb1,0,timeout,0.00,0.17,1.91,0,2.47,[]
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s343b31,ucb1,45,timeout,4272.68,17033.39,1.99,246,2.55,"[('bmc3g', 60.0, 0.9315975148235576, 60.0, 0, 60.0), ('bmc3g', 267.58000000000004, 1.8928394108783086, 327.58000000000004, 267.58000000000004, 25), ('bmc3g', 550.95, 1.8104089529898577, 878.5300000000001, 550.95, 36), ('bmc3g', 717.19, 1.9952494153703373, 1595.7200000000003, 664.6400000000001, 40), ('bmc3s', 2676.96, 1.0247266472033232, 4272.68, 1595.7200000000003, 2658.5600000000004)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s367r,ucb1,72,timeout,60.00,1820.08,2.08,44,2.64,"[('bmc3g', 60.0, 0.9966246755707515, 60.0, 0, 60.0)]"
Design,Bandit-policy,BMC-depth,status,time(s),total(s),memory-current(MB),memory-peak MB),MAX-mem(BMC)(MB),sequence
6s7,ucb1,55,sat,372.46,871.07,2.02,34,2.58,"[('bmc3g', 60.0, 0.9854345398915929, 60.0, 0, 60.0), ('bmc3g', 312.46, 1.8981483155167436, 372.46, 318.1099999999999, 41)]"
